time,latitude,longitude,accuracy,altitude,altitudeAccuracy,heading,speed
8:1:55:787,56.307447,44.079600,2.900000,180.8,0,174,0
8:1:56:921,56.307452,44.079598,3.000000,180.7,0,151,0
8:1:57:661,56.307452,44.079598,3.900000,180.7,0,151,0
8:1:58:914,56.307452,44.079598,3.900000,180.7,0,151,0
8:1:59:654,56.307452,44.079598,3.100000,180.7,0,151,0
8:2:0:837,56.307452,44.079598,3.900000,180.7,0,151,0
8:2:0:907,56.307452,44.079598,3.000000,180.7,0,151,0
8:2:2:111,56.307492,44.079540,3.000000,180.7,0,342,0.7159786224365234
8:2:2:662,56.307508,44.079535,3.900000,180.9,0,337,0.8101727962493896
8:2:4:845,56.307517,44.079530,3.000000,181,0,332,0.5641355514526367
8:2:5:853,56.307513,44.079527,3.900000,181.1,0,324,0.49567750096321106
8:2:6:922,56.307497,44.079527,3.000000,181.1,0,306,0
8:2:7:931,56.307480,44.079530,3.900000,181.2,0,280,0
8:2:9:43,56.307455,44.079542,2.900000,181.4,0,193,0
8:2:9:672,56.307455,44.079542,3.900000,181.4,0,193,0
8:2:10:831,56.307455,44.079542,2.800000,181.4,0,193,0
8:2:11:988,56.307455,44.079542,2.800000,181.4,0,193,0
8:2:12:623,56.307398,44.079543,2.800000,181.4,0,221,0.6809775233268738
8:2:13:794,56.307390,44.079538,3.900000,181.6,0,220,0.7051694393157959
8:2:14:903,56.307368,44.079545,2.800000,181.7,0,195,1.1179766654968262
8:2:16:20,56.307357,44.079533,3.900000,181.9,0,228,1.8962366580963135
8:2:16:630,56.307333,44.079515,2.900000,182.1,0,224,3.2875308990478516
8:2:17:828,56.307320,44.079470,3.900000,182.1,0,243,3.6545276641845703
8:2:18:844,56.307305,44.079430,2.900000,182.2,0,241,3.4162113666534424
8:2:20:56,56.307305,44.079383,3.000000,182.3,0,262,2.8690617084503174
8:2:20:679,56.307332,44.079303,3.900000,183.6,0,278,3.4043726921081543
8:2:21:874,56.307357,44.079238,2.900000,183.8,0,296,4.1435136795043945
8:2:22:968,56.307390,44.079182,3.900000,184,0,313,4.389551162719727
8:2:24:94,56.307432,44.079117,3.900000,184,0,321,5.9445271492004395
8:2:24:727,56.307470,44.079030,2.900000,184.3,0,312,6.423218727111816
8:2:25:860,56.307522,44.078958,2.900000,184.4,0,320,6.28527307510376
8:2:26:984,56.307578,44.078887,2.900000,184.6,0,324,7.073827266693115
8:2:27:630,56.307650,44.078815,2.900000,184.5,0,325,7.769217014312744
8:2:28:775,56.307717,44.078735,2.900000,184.6,0,325,8.16246509552002
8:2:29:903,56.307783,44.078658,3.000000,184.7,0,326,7.804218292236328
8:2:31:27,56.307883,44.078553,2.900000,184.2,0,325,8.934548377990723
8:2:32:966,56.307978,44.078448,3.900000,183.8,0,326,9.091538429260254
8:2:34:762,56.307978,44.078448,2.800000,183.8,0,326,9.091538429260254
8:2:39:238,56.308397,44.077923,3.900000,182.8,0,322,7.369792938232422
8:2:40:660,56.308550,44.077703,2.500000,182.5,0,321,6.549840450286865
