time,x,y,z
13:31:55:688,-2.34,3.98,9.75
13:31:55:943,-1.87,-0.3,9.16
13:31:56:139,-3.93,3.39,9.6
13:31:56:192,-1.66,4.57,8.84
13:31:56:313,-2.23,-0.85,12.18
13:31:56:465,-1.86,2.66,9.29
13:31:56:540,-1.27,2.41,12.32
13:31:56:763,-0.02,-1.97,11.39
13:31:56:965,-0.99,-0.09,11.04
13:31:57:17,-2.1,-0.53,9.27
13:31:57:145,-0.89,-2.62,11.8
13:31:57:348,0.54,-2,11.71
13:31:57:552,-0.94,-2.57,11.19
13:31:57:729,-1.36,1.98,10.52
13:31:57:806,-0.37,0.32,8.97
13:31:57:940,0.77,2.57,7.7
13:31:58:31,1.53,5.67,8.69
13:31:58:182,-0.39,0.75,8.23
13:31:58:306,-1.09,-0.14,9.33
13:31:58:440,-2.04,5.12,8.09
13:31:58:732,-0.83,-3.32,10.55
13:31:58:824,-0.95,6.55,8.98
13:31:58:946,-1.97,1.8,9.91
13:31:59:64,0.7,-0.09,9.25
13:31:59:106,-3.49,-1.11,12.05
13:31:59:151,-3.49,-1.11,12.05
13:31:59:316,-1.1,3.18,8.93
13:31:59:447,0.17,-2.35,10.4
13:31:59:491,-1.09,0.01,7.2
13:31:59:585,-1.09,0.01,7.2
13:31:59:848,-3.37,-2.34,11.18
13:31:59:964,0.59,1.25,13.28
13:32:0:104,-0.7,-0.31,10.79
13:32:0:204,-1.12,-1.73,10.47
13:32:0:337,-0.99,0.19,13.26
13:32:0:429,-0.46,2.97,10.03
13:32:0:524,-0.57,0.35,9.18
13:32:0:801,-2.99,2.27,10.25
13:32:0:941,-1.9,0.28,11.51
13:32:0:887,0.72,0.79,8.23
13:32:1:38,1.76,1.13,8.48
13:32:1:264,-0.75,2,10.95
13:32:1:318,-3.42,1.64,7.69
13:32:1:443,-1.7,2.93,7.63
13:32:1:781,-1.9,0.7,10.06
13:32:1:829,-1.02,2.31,7.92
13:32:1:942,0,1.76,10.59
13:32:2:9,-0.79,0.51,12.1
13:32:2:48,-3.3,-1.01,10.69
13:32:2:170,-0.68,-0.65,9.03
13:32:2:208,-1.64,-5.39,12.99
13:32:2:286,2.59,-0.7,11.49
13:32:2:382,-0.34,0.79,10.83
13:32:2:429,-0.73,0.91,11.2
13:32:2:461,-0.73,0.91,11.2
13:32:2:537,-1.3,-1.89,12.74
13:32:2:604,2.6,0.28,8.26
13:32:2:776,-0.32,4.86,10.11
13:32:2:714,0.47,3.54,9
13:32:2:822,-0.71,2.53,6.95
13:32:2:885,-0.71,2.53,6.95
13:32:2:862,-0.71,2.53,6.95
13:32:4:26,0.52,-1.88,9.8
13:32:4:619,-1.65,4.8,7.96
13:32:4:930,0.48,0.45,9.66
13:32:5:369,0.34,-0.1,12.6
13:32:5:404,3.29,1.05,9.7
13:32:5:468,3.29,1.05,9.7
13:32:5:678,-1.96,1.12,7.27
13:32:5:801,-2.94,3.89,6.6
13:32:5:743,-5.03,2.85,8.77
13:32:6:55,3.26,-0.11,9.55
13:32:6:280,-1.56,1.9,13.27
13:32:6:491,-0.31,-0.31,10.24
13:32:6:557,-2.78,4.18,9.5
13:32:6:596,-2.78,4.18,9.5
13:32:6:697,-3.23,0.92,10.21
13:32:6:786,-1.46,-1.63,10.48
13:32:6:864,0.29,-4.51,7.7
13:32:6:985,1.53,2.51,10.52
13:32:7:465,-1.77,2.01,9.1
13:32:7:521,-2.57,-0.02,11.76
13:32:7:598,1.01,-3.88,12.04
13:32:7:898,0.7,3.79,6.85
13:32:8:50,-1.52,-3.83,11.44
13:32:8:206,2.12,0.53,7.92
13:32:8:364,-1.58,-0.51,13.0
13:32:8:569,-2.75,0.9,9.78
13:32:8:760,1.76,0.7,11.76
13:32:8:842,-1.42,-0.77,11.91
13:32:8:904,-1.42,-0.77,11.91
13:32:8:998,-2.7,-0.73,8.02
13:32:9:113,0.26,0.41,9.85
13:32:9:199,-1.12,2,9.14
13:32:9:273,-1.12,2,9.14
13:32:9:395,-0.03,-2.67,12.2
13:32:9:575,2.83,2.67,8.43
13:32:9:765,1.45,5.06,8.81
13:32:9:980,-5.81,-0.07,8.58
13:32:10:22,0.34,2.89,10.28
13:32:10:92,0.34,2.89,10.28
13:32:10:234,-1.75,-0.38,11.78
13:32:10:297,1.65,-0.83,11.27
13:32:10:378,-0.03,-0.23,8.97
13:32:10:746,-0.7,2.57,9.14
13:32:10:935,1.87,1.42,8.86
13:32:10:983,-1.75,4.04,8.75
13:32:11:24,-1.75,4.04,8.75
13:32:11:108,-1.5,3.22,9.78
13:32:11:169,-1.1,2.46,9.2
13:32:11:297,1.45,0.68,11.15
13:32:11:431,0.66,-0.06,8.52
13:32:11:531,-1.45,1.4,10.22
13:32:11:630,-0.99,2.15,9.03
13:32:11:824,-0.99,2.15,9.03
13:32:11:943,-1.29,2.19,9.69
13:32:11:991,-1.29,2.19,9.69
13:32:12:21,-0.1,0.47,10.88
13:32:12:59,-0.1,0.47,10.88
13:32:12:91,0.12,0.66,8.01
13:32:12:276,-3.16,3.94,11.87
13:32:12:427,-3.96,-0.48,13.24
13:32:12:558,-3.21,-0.51,11.8
13:32:12:699,0.15,2.44,10.08
13:32:12:995,0.62,-2.97,10.73
13:32:13:108,-0.19,-1.79,12.16
13:32:13:168,-0.52,0.5,6.55
13:32:13:226,0.67,4.36,8.72
13:32:13:356,1.35,-0.04,9.76
13:32:13:464,0.41,-0.2,10.85
13:32:13:509,-1.6,-2.74,9.85
13:32:13:627,-4.46,1.85,11.51
13:32:13:804,3.55,4.32,3.4
13:32:14:46,-3.48,1.39,7.94
13:32:14:166,0.37,0.97,7.27
13:32:14:289,1.7,4.65,13.45
13:32:14:376,1.1,1.46,11.56
13:32:14:474,-2.25,-6.32,10.46
13:32:14:532,-1.31,-6.77,16.05
13:32:14:648,-3.21,2.47,9.92
13:32:14:959,-1.95,-8.46,12.18
13:32:15:44,-2.41,-5.33,10.97
13:32:15:164,4.33,3.51,9.5
13:32:15:281,2.67,6.3,8.59
13:32:15:323,6.19,4.59,7.5
13:32:15:515,0.6,-0.03,10.05
13:32:15:717,1.07,-0.87,7.69
13:32:15:903,-2.43,-0.46,10.06
13:32:15:936,-2.93,-0.37,8.76
13:32:16:63,2.15,1.66,8.6
13:32:16:107,-2.12,0.24,10.23
13:32:16:225,0.56,2.03,8.53
13:32:16:288,1.12,-3.09,12.84
13:32:16:446,-0.97,-3,12.36
13:32:16:565,1.68,3.48,6.98
13:32:16:635,0.49,2.29,8.59
13:32:16:705,-0.85,5.3,6.79
13:32:17:12,0.67,5.79,6.71
13:32:17:194,0.17,5.13,8.48
13:32:17:318,0,0.61,10.16
13:32:17:365,-1.74,-1.16,10.58
13:32:17:420,-1.66,-4.04,11.15
13:32:17:498,1.9,1.14,8.77
13:32:17:799,-7.97,-0.23,13.96
13:32:17:940,-3.34,-3.85,13.02
13:32:18:70,-1.9,0.59,9.87
13:32:18:161,-1.9,0.59,9.87
13:32:18:238,-0.34,4.09,11.35
13:32:18:261,2.23,2.7,13.07
13:32:18:378,0.46,-5.58,10.97
13:32:18:480,-0.66,-3.28,11.57
13:32:18:655,0.01,-0.91,9.5
13:32:18:901,0.3,-3.92,10.32
13:32:19:4,1.07,0.31,7.53
13:32:19:66,-1.29,5.26,7.88
13:32:19:143,-1.6,6.27,8.8
13:32:19:188,-1.6,6.27,8.8
13:32:19:325,3.13,-0.66,13.68
13:32:19:388,-0.91,-1.6,11.45
13:32:19:506,-1.49,-3.99,11.3
13:32:19:585,-1.77,1.04,8.93
13:32:19:650,-0.53,-0.19,9.52
13:32:19:849,-4.99,-1.82,13.01
13:32:20:35,-1.3,-0.71,8.36
13:32:20:153,-3.39,0.92,9.0
13:32:20:215,0.32,7.87,5.9
13:32:20:344,4.5,0.84,12.81
13:32:20:388,4.5,0.84,12.81
13:32:20:501,-0.79,-0.58,8.73
13:32:20:634,1.79,1.88,7.59
13:32:20:828,-1.58,1.58,9.34
13:32:21:95,-1.78,-1.04,9.02
13:32:21:192,-0.32,0.01,8.97
13:32:21:314,-1.98,3.05,8.76
13:32:21:401,1.26,0.11,13.55
13:32:21:529,2.15,-2.97,9.3
13:32:21:756,-0.31,6.7,7.78
13:32:21:872,-1.09,4.35,8.78
13:32:21:985,-6.68,0.61,12.45
13:32:22:107,-1.55,-3.96,11.9
13:32:22:161,-0.32,-2.94,9.72
13:32:22:266,-0.39,1.68,9.38
13:32:22:358,-2.96,1.33,8.99
13:32:22:420,-1.59,3.03,7.95
13:32:22:468,1.73,1.38,11.87
13:32:22:514,4.59,1.64,12.5
13:32:22:598,3.42,0.91,8.52
13:32:22:654,-2.22,0.92,8.96
13:32:22:771,-2.76,3.24,6.09
13:32:22:928,0.27,1.86,8.99
13:32:23:330,-0.46,2.01,6.66
13:32:23:449,-1.85,-0.52,9.27
13:32:23:660,3.72,-0.68,12.54
13:32:23:895,-0.34,0.18,9.98
13:32:23:940,-2.2,-1.31,10.74
13:32:24:81,-2.98,1.44,11.98
13:32:24:138,-3.65,-2.25,12.55
13:32:24:319,-0.71,-4.39,12.1
13:32:24:469,-1.17,-3,8.92
13:32:24:678,0.75,1.6,9.54
13:32:24:806,1.03,-5,12.25
13:32:24:843,-0.19,-3.78,10.24
13:32:24:896,-1.14,-0.69,10.35
13:32:25:15,-1.21,1.18,11.69
13:32:25:171,-3.97,4.22,10.91
13:32:25:303,-3.09,-7.14,12.6
13:32:25:386,-0.32,-8.3,13.64
13:32:25:463,-0.81,-2.85,9.87
13:32:25:773,1.6,3,9.18
13:32:25:882,-2.14,1.75,9.28
13:32:25:951,-2.83,1,9.05
13:32:26:113,-1.78,1.85,12.03
13:32:26:562,-2.95,0.41,10.68
13:32:26:748,0.86,2.06,6.68
13:32:26:843,-2.52,-1.05,11.49
13:32:26:960,-1.17,-1.06,10.32
13:32:27:53,-0.5,-0.34,10.39
13:32:27:127,0.4,0.67,10.28
13:32:27:240,1.91,1.43,7.95
13:32:27:281,0.43,0.74,8.65
13:32:27:333,-2.93,-0.87,10.98
13:32:27:464,-0.91,-1.34,10.56
13:32:27:625,-1.58,1.31,9.44
13:32:27:823,-0.79,0.51,10.71
13:32:27:954,-0.68,-1.54,12.49
13:32:28:20,-1.25,1.88,9.13
13:32:28:162,-0.61,2.55,8.11
13:32:28:239,0.56,0.04,8.72
13:32:28:314,-1.24,0.52,10.56
13:32:28:595,0.34,1.36,9.59
13:32:28:784,1.27,-0.5,9.91
13:32:28:897,-0.31,-0.09,10
13:32:28:974,-1.01,0.36,8.93
13:32:29:28,-0.21,-0.31,10.67
13:32:29:141,-2.43,1.61,8.35
13:32:29:179,-1.08,-0.08,10.31
13:32:29:257,-0.79,-0.79,12.98
13:32:29:379,-0.11,0.15,10.32
13:32:29:434,0.04,1.13,10.22
13:32:29:551,0.45,0.17,11.86
13:32:29:653,-3.02,4.2,9.41
13:32:29:703,-2.87,3.21,9.36
13:32:29:788,-1.61,2.3,9.3
13:32:30:83,-2.88,0.17,10.66
13:32:30:226,1.53,-2.38,10.41
13:32:30:408,-1.18,-0.2,11.48
13:32:30:453,-0.37,-0.83,11.11
13:32:30:642,-1.7,-1.27,10.98
13:32:30:863,-2.25,-1.13,10.53
13:32:31:93,-1.25,-1.93,10.73
13:32:31:211,-1.57,0.24,10.93
13:32:31:262,-1.4,-2.23,12.94
13:32:31:417,-2.73,1.63,9.55
13:32:31:525,1.49,1.64,9.26
13:32:31:749,-0.85,1.02,9.81
13:32:31:816,-5.09,-2.09,12.3
13:32:31:940,-0.86,1.89,9.96
13:32:31:985,-0.42,1.26,9.11
13:32:32:122,-0.12,0.34,10.59
13:32:32:206,0.34,2.41,8.56
13:32:32:238,-0.32,0.38,11.02
13:32:32:402,-0.79,-1.16,11.19
13:32:32:431,1.31,0.92,10.05
13:32:32:706,-1.23,1.45,9.44
13:32:32:825,-1.48,2.61,8.56
13:32:32:904,0.01,2.61,7.87
13:32:33:47,0.38,0.34,9.42
13:32:33:242,-0.29,0.56,9.83
13:32:33:357,0.9,0.7,9.33
13:32:33:402,1.41,-0.04,8.61
13:32:33:535,-1.55,-0.45,10.33
13:32:33:574,-0.05,1.68,11.2
13:32:33:683,-3.25,0.48,8.46
13:32:33:930,-0.37,0.77,10.03
13:32:34:24,-0.29,1.95,8.59
13:32:34:148,0.11,1.66,9.96
13:32:34:254,-0.11,3.52,7.87
13:32:34:336,-1.89,-0.44,10.17
13:32:34:430,-1.89,-0.44,10.17
13:32:34:498,-0.97,-0.77,10.25
13:32:34:745,-0.97,-0.15,10.79
13:32:34:851,-0.63,2.26,9.3
13:32:34:969,0.32,1.47,6.27
13:32:35:83,-1.1,5.25,4.64
13:32:35:208,-3.47,-4.66,13.53
13:32:35:312,-0.94,-4.11,11.7
13:32:35:411,-1,-4.21,11.57
13:32:35:470,-0.68,0.31,9.63
13:32:35:801,-1.25,7.44,-5.07
13:32:35:927,1.77,2.79,9.28
13:32:36:38,-0.12,-0.76,10.94
13:32:36:95,-1.29,-1.77,12.78
13:32:36:193,-3.78,0.62,6.62
13:32:36:389,-2.5,1.63,7.87
13:32:36:484,-0.34,1.27,8.51
13:32:36:587,-0.75,1.73,6.94
13:32:36:804,-0.43,-1.95,10.9
13:32:37:25,0.61,-2.21,10.23
13:32:37:129,-2.11,-2.24,12.01
13:32:37:195,-0.56,-2.17,11.24
13:32:37:319,-1.6,-1.6,10.34
13:32:37:407,-0.9,0.76,10.83
13:32:37:521,-3.36,-0.17,10.28
13:32:37:584,-2.26,-2.08,12.03
13:32:37:764,-0.42,-0.92,12.83
13:32:38:1,-1.52,1.15,9.33
13:32:38:87,1.06,1.8,11.17
13:32:38:172,-2.44,1.83,10.62
13:32:38:295,-1.83,-0.27,9
13:32:38:403,-2.43,1.99,8.94
13:32:38:544,1.78,3.38,10.46
13:32:38:594,-0.44,-0.5,13.17
13:32:38:787,-0.44,-0.5,13.17
13:32:38:953,-0.49,1.16,9.21
13:32:39:119,0.4,1.37,9.55
13:32:39:260,-1,2.15,8
13:32:39:364,-0.04,1.61,10.00
13:32:39:504,-2.22,0.48,10.00
13:32:39:654,0.17,-0.56,10.00
13:32:39:844,-1.72,0.35,10.14
13:32:39:923,-2.26,0.48,10.19
13:32:39:982,-1.05,0.21,10.07
13:32:40:112,-2.31,-1.54,8.75
13:32:40:236,0.79,-1.73,13.23
13:32:40:362,-1.12,1.89,8.73
13:32:40:476,-0.68,-0.24,11.18
13:32:40:635,-0.87,0.37,9.87
13:32:40:843,-1.35,0.88,10.71
13:32:41:57,-1.2,0.13,9.35
13:32:41:142,-1.45,1.32,10.32
13:32:41:254,-0.32,2.79,8.7
13:32:41:444,-1.22,-1.08,10.98
13:32:41:666,-0.11,-0.32,8.41
13:32:41:921,-1.15,-0.19,8.35
13:32:42:97,-1.54,1.73,8.08
13:32:42:156,-1.39,0.53,9.73
13:32:42:263,0.3,0.68,8.83
13:32:42:379,0.41,0.79,9.82
13:32:42:501,-0.1,0.64,10.32
13:32:42:660,-2.72,0.17,10.62
13:32:42:919,-1.25,0.37,10.36
13:32:43:54,1.54,-0.76,10.46
13:32:43:220,0.08,-0.32,10.34
13:32:43:338,1.6,1.38,9.1
13:32:43:512,-1.47,-0.11,12.12
13:32:43:801,-1.07,0.29,10.28
13:32:44:34,-0.48,1.64,10.28
13:32:44:62,0.03,2.73,8.2
13:32:44:142,0,1.57,9.09
13:32:44:229,-2.01,2.05,10.08
13:32:44:320,-1.91,2.31,9.23
13:32:44:389,-1.91,2.31,9.23
13:32:44:466,-3.14,0.18,8.93
13:32:44:521,0.38,-0.7,9.42
13:32:44:794,-0.26,3.24,7.94
13:32:44:931,-1.01,-0.47,9.9
13:32:45:33,0.09,1.41,9.68
13:32:45:105,-0.98,-0.62,11.18
13:32:45:193,-0.27,-1.09,10.47
13:32:45:318,-1.6,-1.06,9.58
13:32:45:452,-2.12,0.87,11.55
13:32:45:517,-1.09,3.52,10.6
13:32:45:851,-0.84,2.64,9.95
13:32:45:965,0.34,1.49,9.5
13:32:46:49,0.59,1.91,8.11
13:32:46:107,-1.15,-2.4,10.97
13:32:46:194,0.58,-1.06,10.25
13:32:46:365,-1.02,0.32,10.35
13:32:46:466,-0.92,-0.01,10.2
13:32:46:536,1.23,-0.85,10.13
13:32:46:926,-2.88,1.08,10.97
13:32:47:17,-1.27,0.79,10.69
13:32:47:122,-0.53,-0.21,10.11
13:32:47:239,-1.85,0.61,9.73
13:32:47:359,-2.91,-1.61,11.69
13:32:47:485,0.09,1.46,8.3
13:32:47:787,0.15,0.32,9.43
13:32:47:864,-1.31,0.77,9.85
13:32:47:993,-1.55,0.26,10.02
13:32:48:87,-0.87,1.1,10.53
13:32:48:221,-1.24,0.03,9.9
13:32:48:261,-1.24,0.03,9.9
13:32:48:407,-1.98,-2.86,11.76
13:32:48:499,-0.38,-0.01,9.21
13:32:48:716,-0.08,-1.34,10.06
13:32:48:921,-1.68,1.13,8.57
13:32:49:4,0.46,2.38,10.9
13:32:49:172,-2.12,-0.35,13.02
13:32:49:297,-1.19,-1.81,11.8
13:32:49:426,1.71,0.92,10.26
13:32:49:565,0.4,2.97,8.92
13:32:49:641,-0.18,-0.25,9.72
13:32:50:66,-1.17,3.09,10.06
13:32:50:139,-0.38,-0.29,10.73
13:32:50:210,-2.71,-0.03,9.32
13:32:50:262,-1.14,2.4,7.26
13:32:50:391,-0.32,1.24,9.14
13:32:50:457,-1.06,-0.36,12.1
13:32:50:651,-0.54,2.17,7.75
13:32:50:859,-0.24,1.05,11.2
13:32:50:909,-1.62,-1.55,10.03
13:32:51:15,-1.96,3.4,8.94
13:32:51:53,-0.38,2.83,9.34
13:32:51:223,-2.33,-1.1,11.81
13:32:51:406,-2.06,-0.12,11.1
13:32:51:828,-0.88,-1.66,10.56
13:32:51:964,-1.63,1.46,7.98
13:32:52:192,0.32,0.68,8.79
13:32:52:449,-1.14,-0.43,10.18
13:32:52:672,-0.46,0.77,7.08
13:32:52:849,-0.62,-3.36,10.08
13:32:53:13,-0.73,0.52,10.59
13:32:53:127,0.16,2.88,8.48
13:32:53:228,-0.51,1.45,10.63
13:32:53:363,-1.33,4.56,6.41
13:32:53:452,-1.7,3.46,9.06
13:32:53:500,-1.53,-1.54,10.79
13:32:53:731,-2.11,0.31,10.34
13:32:53:825,-1.09,-0.36,10.47
13:32:53:956,0.31,2.83,7.61
13:32:54:6,-0.5,1.72,10.16
13:32:54:168,0.55,3,8.15
13:32:54:284,-1.6,1.94,9.33
13:32:54:322,-1.08,1.79,9.33
13:32:54:455,-0.49,-0.52,10.18
13:32:54:548,0.24,-1.56,10.92
13:32:54:756,1.16,-0.73,9.84
13:32:54:851,-0.56,-1.38,11.4
13:32:55:4,-1.89,2.66,8.56
13:32:55:74,-1.89,2.66,8.56
13:32:55:172,0.2,1.76,11.05
13:32:55:284,-2.7,0.6,12.18
13:32:55:378,1.59,3.9,8.27
13:32:55:435,-1.05,4.12,8.3
13:32:55:497,0.11,3.07,7.8
13:32:55:715,-0.6,0.82,8.5
13:32:55:866,-1.09,-0.05,11.84
13:32:55:962,0.77,1.63,7.48
13:32:55:918,0.77,1.63,7.48
13:32:56:101,-1.16,-0.12,10.08
13:32:56:202,0.04,2.27,9.7
13:32:56:303,-1.87,-0.38,
13:32:56:427,-1.22,1.65,9.07
13:32:56:489,-0.42,4.19,7.46
13:32:56:559,-1.29,1.29,9.33
13:32:56:609,-1.21,-0.03,10.94
13:32:56:790,-1.21,-0.03,10.94
13:32:57:7,-2.79,1.47,11.07
13:32:57:84,-1.9,2.15,8.27
13:32:57:230,-1.82,0.17,9.15
13:32:57:332,-0.65,1.2,8.14
13:32:57:413,-0.76,-0.32,9.99
13:32:57:540,-0.29,-0.02,10.37
13:32:57:794,0.03,-0.35,11.65
13:32:57:873,-2.25,-4.14,13.61
13:32:57:988,-0.57,-0.45,10.22
13:32:58:73,-1.11,-0.75,12.1
13:32:58:131,-1.11,-0.75,12.1
13:32:58:164,-0.36,-3.78,11.19
13:32:58:389,0.07,-0.81,9.14
13:32:58:619,-2.12,-2.93,14.78
13:32:58:769,-0.86,-3.18,13.23
13:32:58:931,-1.04,0.49,13.15
13:32:58:998,-2.28,-1.03,8.36
13:32:59:50,-2.28,-1.03,8.36
13:32:59:183,-0.35,-1.44,10.79
13:32:59:318,-0.42,0.15,10.06
13:32:59:481,-2.93,-2.55,11.97
13:32:59:580,-0.52,-0.84,10.23
13:32:59:891,-0.09,-0.72,11.99
13:33:0:54,-0.74,-0.5,10.87
13:33:0:286,-0.77,3.67,8.09
13:33:0:385,-1.73,0.92,8.55
13:33:0:553,0.7,-0.64,9.91
13:33:0:646,0.27,-1.64,14.3
13:33:0:905,-1.25,-1.16,10.23
13:33:0:997,-1.7,-0.09,9.54
13:33:1:85,-1.46,0.21,9.94
13:33:1:122,-2.81,0.26,10.27
13:33:1:231,-0.1,-1.31,9.96
13:33:1:284,-0.43,-0.04,9.35
13:33:1:328,0.75,-1.04,11.89
13:33:1:388,-0.05,-1.37,11.64
13:33:1:656,-0.4,-1.2,10.72
13:33:1:798,-1.09,1.82,8.77
13:33:1:883,-0.21,1.35,8.15
13:33:2:6,-1.47,2.23,9.65
13:33:2:165,0.15,2.1,8.14
13:33:2:338,-2.2,2.04,9.13
13:33:2:498,-0.5,0.07,10.47
13:33:2:756,-1.28,-0.56,10.7
13:33:2:920,3.25,1.92,9.45
13:33:3:30,0.2,-0.71,9.08
13:33:3:129,-1.32,0.09,11.19
13:33:3:265,-2.28,0.38,10.99
13:33:3:361,-2.39,0.41,10.72
13:33:3:446,-2.72,-0.65,10.01
13:33:3:612,0.06,1.2,10.48
13:33:3:775,-0.22,0.35,9.83
13:33:3:952,0.63,1.05,7.98
13:33:4:43,1.73,3.13,8.18
13:33:4:273,-1.25,0.11,10.05
13:33:4:414,-0.73,0.86,9.02
13:33:4:521,0.56,2.11,8.34
13:33:4:581,0.04,-1.52,9.94
13:33:4:798,-2.06,-1.91,10.74
13:33:4:879,-2.58,-2.14,12.84
13:33:4:959,-1.91,-1.28,9.4
13:33:5:100,-0.81,0.18,10.35
13:33:5:228,-0.56,1.77,9.4
13:33:5:195,0.65,1,8.9
13:33:5:379,-0.89,-2.26,1
13:33:5:956,-1.35,0.8,9.25
13:33:6:90,-0.02,0.84,8.78
13:33:6:212,0.77,1.84,9.12
13:33:6:295,-0.82,1.18,9.95
13:33:6:412,-0.09,0.56,9.48
13:33:6:477,-1.13,-0.32,10.25
13:33:6:538,-0.89,-0.77,11.48
13:33:6:589,-0.64,0.16,8.58
13:33:6:853,0.29,-0.77,9.6
13:33:6:913,-0.39,1.68,10.66
13:33:7:78,-0.85,0.09,8.77
13:33:7:183,-2.89,0.56,8.96
13:33:7:228,-0.41,-0.29,10.6
13:33:7:376,0.74,-1.31,11.38
13:33:7:476,-0.09,-0.14,10.34
13:33:7:610,0.41,-1.6,12.08
13:33:7:855,-1.29,0.76,11.47
13:33:7:931,-2.52,0.01,9.44
13:33:8:1,-0.9,-2.5,12.81
13:33:8:74,-0.74,-3.1,11.59
13:33:8:187,-0.57,-1.2,11.28
13:33:8:314,-0.22,-0.32,10.52
13:33:8:477,-2.28,-1.31,9.58
13:33:8:745,-2.08,0.83,9.55
13:33:8:906,-0.44,-1.25,10.86
13:33:9:56,-2.92,0.12,11.33
13:33:9:153,-0.44,-0.76,10.14
13:33:9:207,-1.75,-2.32,10.03
13:33:9:258,-1.75,-2.32,10.03
13:33:9:407,0.26,-0.19,11.87
13:33:9:671,-2.41,2.05,9.04
13:33:9:755,-1.01,3.88,7.61
13:33:9:934,-2.07,1.13,10.3
13:33:10:31,-1.37,1.89,11.41
13:33:10:124,-0.09,-0.38,10.91
13:33:10:188,-2.89,1.35,9.17
13:33:10:304,-1.65,1.9,8.75
13:33:10:424,1.27,1.57,7.36
13:33:10:546,-1.01,0.49,11.95
13:33:10:767,0.45,-0.75,10.72
13:33:10:999,-0.01,0.03,7.7
13:33:11:49,-0.01,0.03,7.7
13:33:11:87,-3.97,-0.27,11.54
13:33:11:119,-3.97,-0.27,11.54
13:33:11:234,-2.01,1.71,9.85
13:33:11:453,0.34,-2,10.09
13:33:11:522,-1.23,-2.59,12.02
13:33:11:834,-1.84,-0.75,10.62
13:33:11:922,-1.24,-0.38,9.12
13:33:12:27,1.74,1.82,8.59
13:33:12:90,-3.2,-0.01,10.56
13:33:12:152,-1.7,-0.09,8.68
13:33:12:282,-2.4,-1.48,10.97
13:33:12:402,-1.53,-0.26,9.38
13:33:12:612,0.97,2.51,8.96
13:33:12:799,-0.4,1.28,10.26
13:33:12:985,-0.82,-2.06,10.98
13:33:13:153,-1.03,0.79,9.2
13:33:13:223,-0.85,1.02,10.68
13:33:13:342,-1.51,-1.13,12.48
13:33:13:601,1.54,0.79,9.33
13:33:13:823,-0.06,-1,15.06
13:33:13:873,-0.06,-1,15.06
13:33:13:975,-1.54,1.18,7.57
13:33:14:96,-1.45,1.47,9.95
13:33:14:132,-1.84,0.35,12.13
13:33:14:253,-1.67,3.65,8.02
13:33:14:304,-1.67,3.65,8.02
13:33:14:352,-1.42,0.87,8.93
13:33:14:478,-1.03,3.04,10.26
13:33:14:653,-0.54,2.16,8.72
13:33:14:721,1.27,0.92,11.06
13:33:14:871,-0.32,-1.92,12.65
13:33:14:911,0.36,-1.1,9.69
13:33:15:33,0.31,1.42,8.69
13:33:15:115,-0.8,-1.1,12.77
13:33:15:239,-2.81,-0.75,10.5
13:33:15:371,0.09,1.09,10.38
13:33:15:492,-1.17,1.37,9.26
13:33:15:560,-2.54,-0.95,10.23
13:33:15:803,-0.18,-2.14,10.88
13:33:15:991,-0.61,2.15,8.77
13:33:16:31,-1.08,2.67,8.66
13:33:16:91,-0.17,1.59,9.05
13:33:16:153,-0.17,1.59,9.05
13:33:16:236,-3.46,0.05,10.28
13:33:16:336,-0.97,-0.45,9.26
13:33:16:772,0.04,-0.79,9.14
13:33:17:125,-0.9,0.92,10.85
13:33:17:207,0.44,-3.88,12.77
13:33:17:349,-0.12,1.08,9.04
13:33:17:480,0.26,2.61,10.21
13:33:17:704,-2.2,-3.06,11.18
13:33:17:857,0.2,4.41,6.35
13:33:17:940,-1.45,-0.87,12.15
13:33:17:994,-0.83,1.7,7.95
13:33:18:71,-4.54,-2.36,11.98
13:33:18:178,-0.18,2.08,10.64
13:33:18:290,-4.68,-2.68,9.48
13:33:18:396,0.04,-0.19,10.86
13:33:18:493,1.68,-3.94,12.14
13:33:18:574,1.68,-3.94,12.14
13:33:18:619,-1.44,-1.7,12.45
13:33:18:659,-0.25,-3.74,11.77
13:33:18:805,-1.47,-4.43,13.28
13:33:18:894,-2.42,-0.54,8.56
13:33:19:161,0.44,-0.58,9.26
13:33:19:107,-0.17,-0.18,10.36
13:33:19:257,-1.52,-0.96,10.76
13:33:19:438,-1.46,-0.83,9.91
13:33:19:487,0.11,-1.1,9.78
13:33:19:752,-0.82,1.21,9.9
13:33:19:958,8.85,3.08,7.23
13:33:20:50,1.02,2.47,7.37
13:33:20:143,1.48,2.81,8.63
13:33:20:340,-1.16,2.12,8.49
13:33:20:479,0.42,0.98,9.53
13:33:20:663,1.15,4.91,3.28
13:33:20:740,-2.34,4.75,8.75
13:33:20:784,3.93,4.38,8.48
13:33:20:874,-2.65,6.56,9
13:33:20:944,-2.13,0.39,10.76
13:33:21:117,-3.54,1.26,9.8
13:33:21:164,2,4.43,5.86
13:33:21:225,-0.99,-0.35,11.93
13:33:21:327,-3.02,-2.94,14.41
13:33:21:437,-2.36,-2.63,11.46
13:33:21:488,-2.36,-2.63,11.46
13:33:21:555,-1.47,-2.22,14.11
13:33:21:808,-2.39,-3.25,10.31
13:33:21:895,-0.06,1.31,9.99
13:33:21:934,-3.08,3.75,9.25
